objectid,type,title,creator,date,location,description,PEOPLE,SEARCH TERMS,subject,identifier,rights,image_small,image_thumb
2020.39.15,"Print, Digital","Digital Photograph, Black Lives Matter Solidarity March and Protest, 6 June 2020",Anne Munroe,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph shows protesters marching down Macdonnell Street and turning toward Wyndham Steet. McCabe's Irish Pub is visible in the background. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Munroe, Anne","Black Lives Matter Solidarity Protest, 6 June 2020 Macdonell Street McCabe���s Irish Pub & Grill Wyndham Street",PROTEST PHOTOGRAPHS - COLOUR,2020.39.15 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20203915.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20203915.jpg
2020.39.16,"Print, Digital","Digital Photograph, Black Lives Matter Solidarity March and Protest, 6 June 2020",Anne Munroe,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph depicts a large crowd of protesters (pictured from behind), who are marching on Carden street. In the centre of the frame, one person holds a yellow sign that reads ""I Can't Breathe: Eric Garner 2014, Freddie Gray 2015, George Floyd 2020."" The Guelph Armoury is visible in the background. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Munroe, Anne","Armoury Black Lives Matter Solidarity Protest, 6 June 2020 Carden Street",PROTEST PHOTOGRAPHS - COLOUR,2020.39.16 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20203916.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20203916.jpg
2020.39.17,"Print, Digital","Digital Photograph, Black Lives Matter Solidarity March and Protest, 6 June 2020",Anne Munroe,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph shows protesters, many wearing face masks, marching on Wyndham Street and on the pedestrian overpass above the road. Some people carry protest signs. The Guelph Armoury is visible in the background. On 6 June 2020, approximately 8000 people gathered at City Hall with another 20,000 in virtual attendance. The assembled crowd marched through downtown Guelph in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement.","Munroe, Anne","Armoury Black Lives Matter Solidarity Protest, 6 June 2020 Wyndham Street",PROTEST PHOTOGRAPHS - COLOUR,2020.39.17 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20203917.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20203917.jpg
2020.39.18,"Print, Digital","Digital Photograph, Black Lives Matter Solidarity March and Protest, 6 June 2020",Anne Munroe,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph depicts the display window of the Guilded Cage Boutique, located at 54 Carden Street. In the window are two handwritten signs that read: ""Justice, No Peace BLM"" and ""Black Lives Matter."" On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Munroe, Anne","Black Lives Matter Solidarity Protest, 6 June 2020 Carden Street Guilded Cage Boutique",PROTEST PHOTOGRAPHS - COLOUR,2020.39.18 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20203918.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20203918.jpg
2020.39.19,"Print, Digital","Digital Photograph, Black Lives Matter Solidarity March and Protest, 6 June 2020",Anne Munroe,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph shows a black and white printed sign in the window of a local business. The sign depicts the raised fist symbol and reads: ""This Business Believes Black Lives Matter."" On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Munroe, Anne","Black Lives Matter Solidarity Protest, 6 June 2020 Downtown Guelph",PROTEST PHOTOGRAPHS - COLOUR,2020.39.19 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20203919.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20203919.jpg
2020.39.2,"Print, Digital","Digital Photograph, Black Lives Matter Solidarity March and Protest, 6 June 2020",Anne Munroe,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph depicts a group of people, some wearing face masks, who are standing at the corner of Wilson Street and Carden Street. Most of the people are facing away from the camera. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Munroe, Anne","Bin 23 Restaurant Black Lives Matter Solidarity Protest, 6 June 2020 Carden Street Wilson Street",PROTEST PHOTOGRAPHS - COLOUR,2020.39.2 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020392.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020392.jpg
2020.39.20,"Print, Digital","Digital Photograph, Black Lives Matter Solidarity March and Protest, 6 June 2020",Anne Munroe,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph depicts a cardboard sign with handwritten text in black, block letters, which reads: ""Black Lives Matter."" The sign is placed in the screen door of a local home. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Munroe, Anne","Black Lives Matter Solidarity Protest, 6 June 2020 Downtown Guelph",PROTEST PHOTOGRAPHS - COLOUR,2020.39.20 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20203920.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20203920.jpg
2020.39.3,"Print, Digital","Digital Photograph, Black Lives Matter Solidarity March and Protest, 6 June 2020",Anne Munroe,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photographer stands in a crowd gathered at the corner of Wilson Street and Carden Street. Some people are holding protest signs. The windshelf and roof of a silver car is visible in the lower left portion of the photograph. On 6 June 2020, approximately 8000 people gathered at City Hall with another 20,000 in virtual attendance. The assembled crowd marched through downtown Guelph in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement.","Munroe, Anne","Bin 23 Restaurant Black Lives Matter Solidarity Protest, 6 June 2020 Carden Street Wilson Street",PROTEST PHOTOGRAPHS - COLOUR,2020.39.3 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020393.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020393.jpg
2020.39.4,"Print, Digital","Digital Photograph, Black Lives Matter Solidarity March and Protest, 6 June 2020",Anne Munroe,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph shows protesters, many wearing face masks, marching past the Guelph Police Station on Wyndham Street. The photographer stands at the intersection of Fountain and Wyndham Streets. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Munroe, Anne","Armoury Black Lives Matter Solidarity Protest, 6 June 2020 Fountain Street Guelph Police Station Wyndham Street",PROTEST PHOTOGRAPHS - COLOUR,2020.39.4 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020394.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020394.jpg
2020.39.5,"Print, Digital","Digital Photograph, Black Lives Matter Solidarity March and Protest, 6 June 2020",Anne Munroe,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph shows protesters, many wearing face masks, marching at the corner of MacDonnell Street and Wyndham Steet. McCabe's Irish Pub is visible in the background. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Munroe, Anne","Black Lives Matter Solidarity Protest, 6 June 2020 Macdonell Street McCabe���s Irish Pub & Grill Wyndham Street",PROTEST PHOTOGRAPHS - COLOUR,2020.39.5 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020395.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020395.jpg
2020.39.6,"Print, Digital","Digital Photograph, Black Lives Matter Solidarity March and Protest, 6 June 2020",Anne Munroe,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The image depicts a presenter, wearing a red hat and standing in the centre of the photograph. They are presenting to a crowd of protesters, many wearing face masks and holding protest signs. A large white banner with capital black letters reads: ""Not Another Black Life."" A camera operator is filming the presenter. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Munroe, Anne","Black Lives Matter Solidarity Protest, 6 June 2020",PROTEST PHOTOGRAPHS - COLOUR,2020.39.6 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020396.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020396.jpg
2020.39.7,"Print, Digital","Digital Photograph, Black Lives Matter Solidarity March and Protest, 6 June 2020",Anne Munroe,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph shows protesters, many wearing face masks, marching at the corner of MacDonnell Street and Wyndham Steet. McCabe's Irish Pub is visible in the background. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Munroe, Anne","Black Lives Matter Solidarity Protest, 6 June 2020 Macdonell Street McCabe���s Irish Pub & Grill Wyndham Street",PROTEST PHOTOGRAPHS - COLOUR,2020.39.7 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020397.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020397.jpg
2020.39.8,"Print, Digital","Digital Photograph, Black Lives Matter Solidarity March and Protest, 6 June 2020",Anne Munroe,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph depicts a crowd of protesters, many wearing face masks. They are standing in a circle and several people are holding protest signs. A presenter with a megaphone stands in the centre of the crowd. A camera operator is filming the presenter. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Munroe, Anne","Black Lives Matter Solidarity Protest, 6 June 2020",PROTEST PHOTOGRAPHS - COLOUR,2020.39.8 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020398.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020398.jpg
2020.39.9,"Print, Digital","Digital Photograph, Black Lives Matter Solidarity March and Protest, 6 June 2020",Anne Munroe,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph depicts seven protesters, some wearing face masks and some holding protest signs with handwritten slogans. One protester holds a sign above their head, which reads: ""In Unity We Have Strength."" In the background, a person, wearing a red shirt, stands on a tall column. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Munroe, Anne","Black Lives Matter Solidarity Protest, 6 June 2020",PROTEST PHOTOGRAPHS - COLOUR,2020.39.9 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020399.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020399.jpg
2020.40.3,"Print, Digital","Digital Photograph, Black Lives Matter Solidarity March and Protest, 6 June 2020",Abigail Fernandes,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) of a child holding a sign during the Black Lives Matter Solidarity March and Protest, held on 6 June 2020. The photograph is of a masked, three-year-old protester holding a cardboard sign, which reads: ""Called a racial slur at 2 years old...(by a 4 yr old). If we can teach hate, we can teach love. This revolution is coming with love and in color [sic]. Get uncomfortable! Time for change."" On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.",,"Black Lives Matter Solidarity Protest, 6 June 2020 City Hall",CHILDREN PHOTOGRAPHS - COLOUR PROTEST,2020.40.3 - Digital Print,Original image and copyright maintained by Abigail Fernandes.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020403.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020403.jpg
2020.42.1,"Print, Digital","Digital Photograph, Blue Sky, COVID-19 Pandemic, Anne Munroe, 2020",Anne Munroe,2020,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe during the COVID-19 lockdown in the spring of 2020. The photograph features a grey and white cloud on a blue sky. Silhouetted treetops are visible along the bottom of the image. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Munroe, Anne","COVID-19 Pandemic, 2020",PANDEMIC PHOTOGRAPHS - COLOUR SCENES,2020.42.1 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020421.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020421.jpg
2020.42.10,"Print, Digital","Digital Photograph, Downtown Guelph, COVID-19 Pandemic, 2020",Anne Munroe,2020,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe during the COVID-19 lockdown in the spring of 2020. The photograph depicts a handwritten sign posted on the door of Osmow's Restaurant, located at 19 Wyndham Street North. The sign reads: ""Max. 5 Customers / Thank-You / Osmows Family."" A second sign, printed and issued by the City of Guelph, provides COVID-19 health and safety protocols. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Munroe, Anne","COVID-19 Pandemic, 2020 Downtown Guelph",COMMERCIAL - RETAILERS PANDEMIC PHOTOGRAPHS - COLOUR,2020.42.10 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20204210.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20204210.jpg
2020.42.11,"Print, Digital","Digital Photograph, The Patch, COVID-19 Pandemic, Anne Munroe, 2020",Anne Munroe,2020,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe during the COVID-19 lockdown in the spring of 2020. The photograph depicts a storefront window covered in sticky notes containing inspirational messages. Clothed mannequins are visible through the window. The Patch is an upcycled clothing store that carries both vintage and designer brands, located at 31 Wyndham Street North. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Munroe, Anne","COVID-19 Pandemic, 2020 Downtown Guelph The Patch",COMMERCIAL - RETAILERS PANDEMIC PHOTOGRAPHS - COLOUR,2020.42.11 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20204211.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20204211.jpg
2020.42.12,"Print, Digital","Digital Photograph, Speed River Bicycle, COVID-19 Pandemic, Anne Munroe, 2020",Anne Munroe,2020,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe during the COVID-19 lockdown in the spring of 2020. Photograph of a floor sign outside the entrance to Speed River Bicycle, located at 135 Wyndham Street North. The sign reads: ""Stop! We're parcticing social distancing. Please wait on a circle until our team is ready to help you."" On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Munroe, Anne","COVID-19 Pandemic, 2020 Downtown Guelph Speed River Bicycle",COMMERCIAL - RETAILERS PANDEMIC PHOTOGRAPHS - COLOUR,2020.42.12 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20204212.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20204212.jpg
2020.42.13,"Print, Digital","Digital Photograph, Speed River Bicycle, COVID-19 Pandemic, Anne Munroe, 2020",Anne Munroe,2020,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe during the COVID-19 lockdown in the spring of 2020. The photograph depicts signs posted on the door of Speed River Bicycle, located at 135 Wyndham Street North. The signs inform customers that appointments are required for service and asks all visitors to adhere to social distancing guidelines. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Munroe, Anne","COVID-19 Pandemic, 2020 Downtown Guelph Speed River Bicycle",PHOTOGRAPHS - COLOUR PANDEMIC COMMERCIAL - RETAILERS,2020.42.13 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20204213.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20204213.jpg
2020.42.14,"Print, Digital","Digital Photograph, Speed River Bicycle, COVID-19 Pandemic, Anne Munroe, 2020",Anne Munroe,2020,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe during the COVID-19 lockdown in the spring of 2020. The photograph depicts a sign posted in the window of Speed River Bicycle, located at 135 Wyndham Street North. The sign reads: ""We are practicing social distancing. Please stand in a circle until our team is ready to help you."" On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Munroe, Anne","COVID-19 Pandemic, 2020 Downtown Guelph Speed River Bicycle",COMMERCIAL - RETAILERS PANDEMIC PHOTOGRAPHS - COLOUR,2020.42.14 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20204214.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20204214.jpg
2020.42.15,"Print, Digital","Digital Photograph, Coriander Guelph, COVID-19 Pandemic, Anne Munroe, 2020",Anne Munroe,2020,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe during the COVID-19 lockdown in the spring of 2020. The photograph depicts a temporary closure sign posted on the door of Coriander Guelph, a women's clothing store located at 112 Wyndham Street North. The sign reads: ""Dear Friends, We have temporarily closed our doors. Please contact us by email if you are interested in shopping at Coriander and we will find a way to make this happen. coriander@shopcoriander.com"" After being closed for six months during the COVID-19 lockdown, Coriander closed it's Guelph location permanently in September 2020 (see media file). On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Munroe, Anne","Coriander COVID-19 Pandemic, 2020",COMMERCIAL - CLOTHING PANDEMIC PHOTOGRAPHS - COLOUR,2020.42.15 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20204215.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20204215.jpg
2020.42.16,"Print, Digital","Digital Photograph, Downtown Guelph, COVID-19 Pandemic, Anne Munroe, 2020",Anne Munroe,2020,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Anne Munroe during the COVID-19 lockdown in the spring of 2020. The photograph depicts a street view at the corner of Wyndham Street North and Quebec Street in downtown Guelph. BMO (Bank of Montreal), located at 78 Wyndham Street North, is visible on the right. The Bookshelf, located at 41 Quebec Street, is visible on the left. The street is empty of vehicles and most people, with only two figures seen in the background. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Munroe, Anne","Bank of Montreal Bookshelf COVID-19 Pandemic, 2020 Downtown Guelph Miijidaa Cafe and Bistro Quebec Street Royal City Church",COMMERCIAL - BANKS COMMERCIAL - BOOKSTORES PANDEMIC PHOTOGRAPHS - COLOUR,2020.42.16 - Digital Print,Original image and copyright maintained by Anne Munroe.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20204216.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/20204216.jpg
